time_s,max_C,argmax_index,argmax_coordinate_cm,argmax_xi,center_C,surface_C,event_value
59232.0,0.15034080478438472,0,0.0,0.0,0.15034080478438472,0.11301651107578307,0.00034080478438472395
59233.0,0.1503345034761297,0,0.0,0.0,0.1503345034761297,0.11301261885918037,0.000334503476129705
59234.0,0.15032820256344406,0,0.0,0.0,0.15032820256344406,0.11300872687866091,0.00032820256344406884
59235.0,0.15032190204630294,0,0.0,0.0,0.15032190204630294,0.11300483513421092,0.0003219020463029465
59236.0,0.1503156019246815,0,0.0,0.0,0.1503156019246815,0.11300094362581664,0.0003156019246814967
59237.0,0.1503093021985549,0,0.0,0.0,0.1503093021985549,0.11299705235346427,0.00030930219855490604
59238.0,0.15030300286789836,0,0.0,0.0,0.15030300286789836,0.11299316131714005,0.00030300286789836095
59239.0,0.150296703932687,0,0.0,0.0,0.150296703932687,0.11298927051683019,0.00029670393268699247
59240.0,0.150290405392896,0,0.0,0.0,0.150290405392896,0.11298537995252095,0.00029040539289601486
59241.0,0.15028410724850058,0,0.0,0.0,0.15028410724850058,0.11298148962419852,0.0002841072485005869
59242.0,0.15027780949947592,0,0.0,0.0,0.15027780949947592,0.11297759953184915,0.0002778094994759228
59243.0,0.15027151214579712,0,0.0,0.0,0.15027151214579712,0.11297370967545906,0.0002715121457971259
59244.0,0.15026521518743943,0,0.0,0.0,0.15026521518743943,0.11296982005501448,0.00026521518743943817
59245.0,0.15025891862437804,0,0.0,0.0,0.15025891862437804,0.11296593067050165,0.00025891862437804614
59246.0,0.15025262245658808,0,0.0,0.0,0.15025262245658808,0.11296204152190678,0.0002526224565880808
59247.0,0.15024632668404478,0,0.0,0.0,0.15024632668404478,0.11295815260921613,0.0002463266840447842
59248.0,0.1502400313067233,0,0.0,0.0,0.1502400313067233,0.11295426393241592,0.00024003130672331507
59249.0,0.15023373632459885,0,0.0,0.0,0.15023373632459885,0.11295037549149237,0.00023373632459885996
59250.0,0.15022744173764663,0,0.0,0.0,0.15022744173764663,0.11294648728643172,0.0002274417376466331
59251.0,0.15022114754584182,0,0.0,0.0,0.15022114754584182,0.11294259931722023,0.00022114754584182106
59252.0,0.15021485374915958,0,0.0,0.0,0.15021485374915958,0.1129387115838441,0.00021485374915958255
59253.0,0.15020856034757515,0,0.0,0.0,0.15020856034757515,0.11293482408628959,0.00020856034757515962
59254.0,0.1502022673410637,0,0.0,0.0,0.1502022673410637,0.11293093682454292,0.00020226734106371103
